"ZView Export Data File: Version 3.1"
"Export From File: C:\Users\Hildy\Desktop\新建文件夹\Q335-EIS.txt"
"Date/Time:  2026/5/1 19:59:17"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\Q335-EIS-原数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
47	1.995262E+00	3.4631E+02	-2.6970E+02	1.9953E+00	4.3894E+02	-3.7911E+01
48	1.584893E+00	3.9945E+02	-2.7678E+02	1.5849E+00	4.8597E+02	-3.4719E+01
49	1.258925E+00	4.5557E+02	-2.7523E+02	1.2589E+00	5.3226E+02	-3.1138E+01
50	1.000000E+00	5.0666E+02	-2.6704E+02	1.0000E+00	5.7273E+02	-2.7792E+01
51	7.943282E-01	5.5569E+02	-2.5086E+02	7.9433E-01	6.0969E+02	-2.4297E+01
52	6.309574E-01	5.9906E+02	-2.2985E+02	6.3096E-01	6.4164E+02	-2.0991E+01
53	5.011872E-01	6.3481E+02	-2.0443E+02	5.0119E-01	6.6692E+02	-1.7851E+01
54	3.981072E-01	6.6539E+02	-1.7692E+02	3.9811E-01	6.8851E+02	-1.4889E+01
55	3.162278E-01	6.8677E+02	-1.5040E+02	3.1623E-01	7.0304E+02	-1.2352E+01
56	2.511886E-01	7.1933E+02	-1.2838E+02	2.5119E-01	7.3069E+02	-1.0119E+01
57	1.995262E-01	7.3327E+02	-1.0633E+02	1.9953E-01	7.4094E+02	-8.2511E+00
58	1.584893E-01	7.4730E+02	-8.7759E+01	1.5849E-01	7.5244E+02	-6.6978E+00
59	1.258925E-01	7.5832E+02	-7.1815E+01	1.2589E-01	7.6172E+02	-5.4099E+00
60	1.000000E-01	7.6898E+02	-6.1047E+01	1.0000E-01	7.7140E+02	-4.5390E+00
61	7.943282E-02	7.6596E+02	-5.4750E+01	7.9433E-02	7.6791E+02	-4.0885E+00
62	6.309573E-02	7.8958E+02	-4.5511E+01	6.3096E-02	7.9089E+02	-3.2988E+00
