"ZView Export Data File: Version 3.1"
"Export From File: FitResult"
"Date/Time:  2026/5/1 19:51:24"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\900-EIS-拟合数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
45	3.162278E-01	7.9550E+02	-3.0185E+02	3.1623E-01	8.5085E+02	-2.0779E+01
46	2.511886E-01	8.4158E+02	-2.9752E+02	2.5119E-01	8.9262E+02	-1.9470E+01
47	1.995262E-01	8.8614E+02	-2.9246E+02	1.9953E-01	9.3316E+02	-1.8265E+01
48	1.584893E-01	9.2918E+02	-2.8707E+02	1.5849E-01	9.7252E+02	-1.7168E+01
49	1.258925E-01	9.7076E+02	-2.8169E+02	1.2589E-01	1.0108E+03	-1.6182E+01
50	1.000000E-01	1.0110E+03	-2.7663E+02	1.0000E-01	1.0482E+03	-1.5303E+01
51	7.943282E-02	1.0501E+03	-2.7211E+02	7.9433E-02	1.0848E+03	-1.4528E+01
52	6.309573E-02	1.0882E+03	-2.6830E+02	6.3096E-02	1.1208E+03	-1.3850E+01
53	5.011872E-02	1.1256E+03	-2.6532E+02	5.0119E-02	1.1565E+03	-1.3263E+01
54	3.981072E-02	1.1625E+03	-2.6324E+02	3.9811E-02	1.1920E+03	-1.2759E+01
