"ZView Export Data File: Version 3.1"
"Export From File: C:\Users\Hildy\Desktop\新建文件夹\1800-EIS.txt"
"Date/Time:  2026/5/1 19:57:07"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\1800-EIS-原数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
27	1.995262E+02	5.8098E+01	-2.3591E+01	1.9953E+02	6.2705E+01	-2.2100E+01
28	1.584893E+02	6.0198E+01	-2.8111E+01	1.5849E+02	6.6438E+01	-2.5032E+01
29	1.258925E+02	6.2395E+01	-3.3102E+01	1.2589E+02	7.0632E+01	-2.7947E+01
30	1.000000E+02	6.5164E+01	-3.9265E+01	1.0000E+02	7.6079E+01	-3.1071E+01
31	7.943282E+01	6.8044E+01	-4.6470E+01	7.9433E+01	8.2398E+01	-3.4331E+01
32	6.309573E+01	7.2617E+01	-5.3074E+01	6.3096E+01	8.9945E+01	-3.6162E+01
33	5.011872E+01	7.8079E+01	-6.6937E+01	5.0119E+01	1.0284E+02	-4.0606E+01
34	3.981072E+01	8.1404E+01	-7.5990E+01	3.9811E+01	1.1136E+02	-4.3030E+01
35	3.162278E+01	9.1497E+01	-8.9206E+01	3.1623E+01	1.2779E+02	-4.4274E+01
36	2.511886E+01	9.8213E+01	-1.0658E+02	2.5119E+01	1.4493E+02	-4.7339E+01
37	1.995262E+01	1.0981E+02	-1.2784E+02	1.9953E+01	1.6853E+02	-4.9337E+01
38	1.584893E+01	1.2127E+02	-1.4838E+02	1.5849E+01	1.9163E+02	-5.0742E+01
39	1.258925E+01	1.3623E+02	-1.7458E+02	1.2589E+01	2.2145E+02	-5.2034E+01
40	1.000000E+01	1.5438E+02	-2.0431E+02	1.0000E+01	2.5608E+02	-5.2925E+01
41	7.943282E+00	1.7666E+02	-2.4036E+02	7.9433E+00	2.9830E+02	-5.3685E+01
42	6.309574E+00	2.0751E+02	-2.8214E+02	6.3096E+00	3.5023E+02	-5.3666E+01
43	5.011872E+00	2.3822E+02	-3.2323E+02	5.0119E+00	4.0153E+02	-5.3610E+01
44	3.981072E+00	2.8004E+02	-3.7501E+02	3.9811E+00	4.6804E+02	-5.3250E+01
45	3.162278E+00	3.2961E+02	-4.2727E+02	3.1623E+00	5.3963E+02	-5.2353E+01
46	2.511886E+00	3.8847E+02	-4.8843E+02	2.5119E+00	6.2408E+02	-5.1503E+01
47	1.995262E+00	4.6786E+02	-5.6204E+02	1.9953E+00	7.3129E+02	-5.0225E+01
48	1.584893E+00	5.4370E+02	-6.1852E+02	1.5849E+00	8.2352E+02	-4.8683E+01
49	1.258925E+00	6.4161E+02	-6.8839E+02	1.2589E+00	9.4103E+02	-4.7014E+01
50	1.000000E+00	7.5541E+02	-7.5124E+02	1.0000E+00	1.0654E+03	-4.4841E+01
51	7.943282E-01	8.8807E+02	-8.1102E+02	7.9433E-01	1.2027E+03	-4.2404E+01
52	6.309574E-01	1.0334E+03	-8.6509E+02	6.3096E-01	1.3477E+03	-3.9935E+01
53	5.011872E-01	1.1925E+03	-9.0246E+02	5.0119E-01	1.4955E+03	-3.7118E+01
54	3.981072E-01	1.3614E+03	-9.2781E+02	3.9811E-01	1.6475E+03	-3.4275E+01
55	3.162278E-01	1.5388E+03	-9.2907E+02	3.1623E-01	1.7975E+03	-3.1123E+01
56	2.511886E-01	1.7127E+03	-9.1732E+02	2.5119E-01	1.9429E+03	-2.8173E+01
57	1.995262E-01	1.8818E+03	-8.8418E+02	1.9953E-01	2.0791E+03	-2.5167E+01
58	1.584893E-01	2.0387E+03	-8.3392E+02	1.5849E-01	2.2027E+03	-2.2246E+01
59	1.258925E-01	2.1822E+03	-7.6956E+02	1.2589E-01	2.3139E+03	-1.9426E+01
60	1.000000E-01	2.3123E+03	-7.0281E+02	1.0000E-01	2.4167E+03	-1.6906E+01
61	7.943282E-02	2.4196E+03	-6.4089E+02	7.9433E-02	2.5030E+03	-1.4835E+01
62	6.309573E-02	2.5149E+03	-5.8412E+02	6.3096E-02	2.5819E+03	-1.3076E+01
63	5.011872E-02	2.5960E+03	-5.3355E+02	5.0119E-02	2.6502E+03	-1.1614E+01
64	3.981072E-02	2.6759E+03	-4.9155E+02	3.9811E-02	2.7207E+03	-1.0409E+01
65	3.162277E-02	2.7467E+03	-4.6333E+02	3.1623E-02	2.7855E+03	-9.5749E+00
66	1.995262E-02	2.8817E+03	-4.1605E+02	1.9953E-02	2.9115E+03	-8.2155E+00
67	1.584893E-02	2.9133E+03	-3.9241E+02	1.5849E-02	2.9396E+03	-7.6712E+00
68	1.000000E-02	3.0211E+03	-4.2102E+02	1.0000E-02	3.0503E+03	-7.9338E+00
