"ZView Export Data File: Version 3.1"
"Export From File: FitResult"
"Date/Time:  2026/5/1 19:59:28"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\Q335-EIS-拟合数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
19	7.943282E+01	5.6930E+01	-2.8328E+01	7.9433E+01	6.3588E+01	-2.6455E+01
20	6.309573E+01	5.9285E+01	-3.3833E+01	6.3096E+01	6.8260E+01	-2.9713E+01
21	5.011872E+01	6.2205E+01	-4.0357E+01	5.0119E+01	7.4149E+01	-3.2975E+01
22	3.981072E+01	6.5838E+01	-4.8062E+01	3.9811E+01	8.1515E+01	-3.6130E+01
23	3.162278E+01	7.0376E+01	-5.7124E+01	3.1623E+01	9.0642E+01	-3.9066E+01
24	2.511886E+01	7.6063E+01	-6.7727E+01	2.5119E+01	1.0185E+02	-4.1682E+01
25	1.995262E+01	8.3209E+01	-8.0046E+01	1.9953E+01	1.1546E+02	-4.3890E+01
26	1.584893E+01	9.2203E+01	-9.4236E+01	1.5849E+01	1.3184E+02	-4.5625E+01
27	1.258925E+01	1.0352E+02	-1.1039E+02	1.2589E+01	1.5134E+02	-4.6839E+01
28	1.000000E+01	1.1775E+02	-1.2852E+02	1.0000E+01	1.7430E+02	-4.7505E+01
29	7.943282E+00	1.3553E+02	-1.4846E+02	7.9433E+00	2.0102E+02	-4.7606E+01
30	6.309574E+00	1.5758E+02	-1.6983E+02	6.3096E+00	2.3168E+02	-4.7142E+01
31	5.011872E+00	1.8460E+02	-1.9197E+02	5.0119E+00	2.6633E+02	-4.6122E+01
32	3.981072E+00	2.1710E+02	-2.1387E+02	3.9811E+00	3.0475E+02	-4.4570E+01
33	3.162278E+00	2.5533E+02	-2.3417E+02	3.1623E+00	3.4646E+02	-4.2525E+01
34	2.511886E+00	2.9901E+02	-2.5131E+02	2.5119E+00	3.9060E+02	-4.0046E+01
35	1.995262E+00	3.4724E+02	-2.6370E+02	1.9953E+00	4.3602E+02	-3.7213E+01
36	1.584893E+00	3.9847E+02	-2.7003E+02	1.5849E+00	4.8135E+02	-3.4124E+01
37	1.258925E+00	4.5066E+02	-2.6957E+02	1.2589E+00	5.2513E+02	-3.0886E+01
38	1.000000E+00	5.0161E+02	-2.6238E+02	1.0000E+00	5.6609E+02	-2.7613E+01
39	7.943282E-01	5.4933E+02	-2.4924E+02	7.9433E-01	6.0323E+02	-2.4405E+01
40	6.309574E-01	5.9233E+02	-2.3151E+02	6.3096E-01	6.3597E+02	-2.1348E+01
41	5.011872E-01	6.2979E+02	-2.1074E+02	5.0119E-01	6.6412E+02	-1.8501E+01
42	3.981072E-01	6.6149E+02	-1.8842E+02	3.9811E-01	6.8780E+02	-1.5899E+01
43	3.162278E-01	6.8767E+02	-1.6571E+02	3.1623E-01	7.0735E+02	-1.3548E+01
44	2.511886E-01	7.0887E+02	-1.4322E+02	2.5119E-01	7.2320E+02	-1.1423E+01
45	1.995262E-01	7.2609E+02	-1.2079E+02	1.9953E-01	7.3607E+02	-9.4450E+00
46	1.584893E-01	7.4240E+02	-9.7515E+01	1.5849E-01	7.4878E+02	-7.4830E+00
47	1.258925E-01	7.6355E+02	-7.9659E+01	1.2589E-01	7.6769E+02	-5.9560E+00
48	1.000000E-01	7.7727E+02	-7.3127E+01	1.0000E-01	7.8070E+02	-5.3747E+00
49	7.943282E-02	7.8326E+02	-6.5201E+01	7.9433E-02	7.8596E+02	-4.7585E+00
50	6.309573E-02	7.8770E+02	-5.6262E+01	6.3096E-02	7.8971E+02	-4.0854E+00
