"ZView Export Data File: Version 3.1"
"Export From File: C:\Users\Hildy\Desktop\新建文件夹\1500-EIS.txt"
"Date/Time:  2026/5/1 19:53:59"
" "
" "
"C:\Users\Hildy\Desktop\新建文件夹\1500-原数据.txt"
"Pt."	"Frequency"	"Z'"	"Z''"	"Frequency (Hz)"	"|Z|"	"theta"
26	2.511886E+02	5.8377E+01	-2.6753E+01	2.5119E+02	6.4215E+01	-2.4621E+01
27	1.995262E+02	6.0713E+01	-3.1850E+01	1.9953E+02	6.8560E+01	-2.7681E+01
28	1.584893E+02	6.3247E+01	-3.8223E+01	1.5849E+02	7.3899E+01	-3.1146E+01
29	1.258925E+02	6.6137E+01	-4.4576E+01	1.2589E+02	7.9756E+01	-3.3980E+01
30	1.000000E+02	6.9662E+01	-5.3443E+01	1.0000E+02	8.7801E+01	-3.7494E+01
31	7.943282E+01	7.4751E+01	-6.3551E+01	7.9433E+01	9.8114E+01	-4.0370E+01
32	6.309573E+01	7.9261E+01	-7.3802E+01	6.3096E+01	1.0830E+02	-4.2957E+01
33	5.011872E+01	8.8503E+01	-8.8182E+01	5.0119E+01	1.2494E+02	-4.4896E+01
34	3.981072E+01	9.4082E+01	-1.0535E+02	3.9811E+01	1.4124E+02	-4.8233E+01
35	3.162278E+01	1.0449E+02	-1.2139E+02	3.1623E+01	1.6017E+02	-4.9278E+01
36	2.511886E+01	1.1648E+02	-1.4501E+02	2.5119E+01	1.8600E+02	-5.1227E+01
37	1.995262E+01	1.3331E+02	-1.7304E+02	1.9953E+01	2.1843E+02	-5.2390E+01
38	1.584893E+01	1.4950E+02	-1.9975E+02	1.5849E+01	2.4951E+02	-5.3188E+01
39	1.258925E+01	1.7100E+02	-2.3226E+02	1.2589E+01	2.8841E+02	-5.3638E+01
40	1.000000E+01	1.9764E+02	-2.7414E+02	1.0000E+01	3.3796E+02	-5.4210E+01
41	7.943282E+00	2.2617E+02	-3.1344E+02	7.9433E+00	3.8652E+02	-5.4187E+01
42	6.309574E+00	2.6077E+02	-3.6301E+02	6.3096E+00	4.4696E+02	-5.4308E+01
43	5.011872E+00	3.0179E+02	-4.1949E+02	5.0119E+00	5.1677E+02	-5.4268E+01
44	3.981072E+00	3.5048E+02	-4.8332E+02	3.9811E+00	5.9702E+02	-5.4052E+01
45	3.162278E+00	4.1006E+02	-5.6088E+02	3.1623E+00	6.9479E+02	-5.3830E+01
46	2.511886E+00	4.7455E+02	-6.3974E+02	2.5119E+00	7.9654E+02	-5.3433E+01
47	1.995262E+00	5.5516E+02	-7.3218E+02	1.9953E+00	9.1886E+02	-5.2829E+01
48	1.584893E+00	6.5070E+02	-8.3676E+02	1.5849E+00	1.0600E+03	-5.2130E+01
49	1.258925E+00	7.6655E+02	-9.5492E+02	1.2589E+00	1.2245E+03	-5.1245E+01
50	1.000000E+00	8.9836E+02	-1.0727E+03	1.0000E+00	1.3992E+03	-5.0055E+01
51	7.943282E-01	1.0673E+03	-1.2050E+03	7.9433E-01	1.6097E+03	-4.8469E+01
52	6.309574E-01	1.2698E+03	-1.3386E+03	6.3096E-01	1.8450E+03	-4.6509E+01
53	5.011872E-01	1.5020E+03	-1.4655E+03	5.0119E-01	2.0985E+03	-4.4295E+01
54	3.981072E-01	1.7762E+03	-1.5762E+03	3.9811E-01	2.3747E+03	-4.1585E+01
55	3.162278E-01	2.0837E+03	-1.6568E+03	3.1623E-01	2.6621E+03	-3.8489E+01
56	2.511886E-01	2.4136E+03	-1.6930E+03	2.5119E-01	2.9482E+03	-3.5048E+01
57	1.995262E-01	2.7510E+03	-1.6796E+03	1.9953E-01	3.2232E+03	-3.1406E+01
58	1.584893E-01	3.3384E+03	-1.7473E+03	1.5849E-01	3.7680E+03	-2.7627E+01
59	1.258925E-01	3.6736E+03	-1.6278E+03	1.2589E-01	4.0181E+03	-2.3898E+01
60	1.000000E-01	3.9285E+03	-1.4636E+03	1.0000E-01	4.1923E+03	-2.0434E+01
61	7.943282E-02	4.2834E+03	-1.3335E+03	7.9433E-02	4.4861E+03	-1.7293E+01
62	6.309573E-02	4.6787E+03	-1.2083E+03	6.3096E-02	4.8322E+03	-1.4481E+01
63	5.011872E-02	5.1712E+03	-1.1001E+03	5.0119E-02	5.2869E+03	-1.2010E+01
